Device,Keyword,Cost,Sale_Amount,Conversions,ROI,ROAS,CPA,Profit
Desktop,analytics for data,30357.92,209859.0,893.0,543.57,6.39,33.61,179501.08000000002
Desktop,data analytics course,33391.08,241063.0,942.0,584.18,6.8,30.47,207671.91999999998
Desktop,data analytics online,30954.11,207125.0,845.0,514.0,6.09,34.48,176170.89
Desktop,data analytics training,30824.16,215541.0,934.0,564.9,6.62,30.87,184716.84
Desktop,learn data analytics,28796.72,205271.0,812.0,589.82,6.88,36.5,176474.28
Desktop,online data analytics,29462.05,185374.0,835.0,498.17,5.95,33.41,155911.95
Mobile,analytics for data,30812.77,209181.0,833.0,577.02,6.76,36.75,178368.23
Mobile,data analytics course,25645.69,180067.0,748.0,557.5,6.53,35.85,154421.31
Mobile,data analytics online,26810.17,171188.0,787.0,484.28,5.79,33.11,144377.83000000002
Mobile,data analytics training,31898.1,216707.0,901.0,543.69,6.4,34.14,184808.9
Mobile,learn data analytics,35482.23,239409.0,1089.0,540.85,6.38,32.81,203926.77
Mobile,online data analytics,32909.35,219257.0,994.0,532.46,6.29,33.86,186347.65
Tablet,analytics for data,27902.14,193189.0,765.0,506.77,6.0,33.57,165286.86
Tablet,data analytics course,31755.24,213593.0,911.0,555.99,6.54,32.82,181837.76
Tablet,data analytics online,28095.05,200932.0,789.0,575.54,6.72,34.35,172836.95
Tablet,data analytics training,22727.17,157792.0,652.0,553.6,6.5,33.02,135064.83000000002
Tablet,learn data analytics,29218.52,198679.0,795.0,538.01,6.34,36.69,169460.48
Tablet,online data analytics,31329.36,223946.0,919.0,541.18,6.35,33.12,192616.64
