Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Device,Keyword,Calculated_CR,CTR,CPC,CPA,CAC,ROI,ROAS,LTV,Conversion_Rate,Lead_Conversion_Rate,Cost_Per_Lead,Day_of_Week,Day_of_Month
Data Analytics Course,104.0,4498.0,231.88,14.0,7.0,0.0673076923076923,1892.0,2024-11-16,Desktop,learn data analytics,0.0673076923076923,2.31,2.23,33.13,33.13,715.94,8.16,270.29,6.73,50.0,16.56,Saturday,16
Data Analytics Course,173.0,5107.0,216.84,10.0,8.0,0.046242774566473986,1679.0,2024-11-20,Mobile,data analytics course,0.046242774566473986,3.39,1.25,27.1,27.1,674.3,7.74,209.88,4.62,80.0,21.68,Wednesday,20
Data Analytics Course,90.0,4544.0,203.66,26.0,9.0,0.1,1624.0,2024-11-16,Desktop,data analytics online,0.1,1.98,2.26,22.63,22.63,697.41,7.97,180.44,10.0,34.62,7.83,Saturday,16
Data Analytics Course,142.0,3185.0,237.66,17.0,6.0,0.04225352112676056,1225.0,2024-11-26,Tablet,data analytics training,0.04225352112676056,4.46,1.67,39.61,39.61,415.44,5.15,204.17,4.23,35.29,13.98,Tuesday,26
Data Analytics Course,156.0,3361.0,195.9,30.0,8.0,0.05128205128205128,1091.0,2024-11-22,Desktop,online data analytics,0.05128205128205128,4.64,1.26,24.49,24.49,456.92,5.57,136.38,5.13,26.67,6.53,Friday,22
Data Analytics Course,195.0,3776.0,243.57,10.0,8.0,0.041025641025641026,1315.0,2024-11-16,Mobile,data analytics training,0.041025641025641026,5.16,1.25,30.45,30.45,439.89,5.4,164.38,4.1,80.0,24.36,Saturday,16
Data Analytics Course,116.0,4480.0,237.79,17.0,5.0,0.04310344827586207,1640.0,2024-11-06,Tablet,data analytics course,0.04310344827586207,2.59,2.05,47.56,47.56,589.68,6.9,328.0,4.31,29.41,13.99,Wednesday,6
Data Analytics Course,184.0,5060.0,229.61,23.0,3.0,0.016304347826086956,1509.0,2024-11-24,Tablet,analytics for data,0.016304347826086956,3.64,1.25,76.54,76.54,557.2,6.57,503.0,1.63,13.04,9.98,Sunday,24
Data Analytics Course,113.0,5434.0,0.0,27.0,4.0,0.035398230088495575,1362.0,2024-11-24,Tablet,data analytics training,0.035398230088495575,2.08,0.0,0.0,0.0,0.0,0.0,340.5,3.54,14.81,0.0,Sunday,24
Data Analytics Course,166.0,3355.0,186.78,24.0,9.0,0.05421686746987952,1029.0,2024-12-11,Mobile,online data analytics,0.05421686746987952,4.95,1.13,20.75,20.75,450.92,5.51,114.33,5.42,37.5,7.78,Wednesday,11
Data Analytics Course,101.0,5399.0,236.79,20.0,6.0,0.0594059405940594,1900.0,2024-11-14,Desktop,learn data analytics,0.0594059405940594,1.87,2.34,39.46,39.46,702.4,8.02,316.67,5.94,30.0,11.84,Thursday,14
Data Analytics Course,101.0,3613.0,208.12,24.0,5.0,0.04950495049504951,1130.0,2024-11-22,Desktop,online data analytics,0.04950495049504951,2.8,2.06,41.62,41.62,442.96,5.43,226.0,4.95,20.83,8.67,Friday,22
Data Analytics Course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,2024-11-27,Desktop,data analytics online,0.024,3.84,1.53,63.77,63.77,924.05,10.24,653.0,2.4,16.67,10.63,Wednesday,27
Data Analytics Course,196.0,3742.0,207.46,10.0,7.0,0.03571428571428571,1623.0,2024-11-12,Mobile,data analytics training,0.03571428571428571,5.24,1.06,29.64,29.64,682.32,7.82,231.86,3.57,70.0,20.75,Tuesday,12
Data Analytics Course,181.0,4311.0,185.09,11.0,9.0,0.049723756906077346,1538.0,2024-04-11,Desktop,data analytics training,0.049723756906077346,4.2,1.02,20.57,20.57,730.95,8.31,170.89,4.97,81.82,16.83,Thursday,11
Data Analytics Course,102.0,5461.0,201.69,22.0,8.0,0.0784313725490196,1755.0,2024-11-29,Desktop,data analytics course,0.0784313725490196,1.87,1.98,25.21,25.21,770.15,8.7,219.38,7.84,36.36,9.17,Friday,29
Data Analytics Course,193.0,5159.0,0.0,15.0,9.0,0.046632124352331605,1614.0,2024-10-11,Mobile,learn data analytics,0.046632124352331605,3.74,0.0,0.0,0.0,0.0,0.0,179.33,4.66,60.0,0.0,Friday,11
Data Analytics Course,149.0,4431.0,207.4,19.0,9.0,0.06040268456375839,1693.0,2024-11-12,Mobile,learn data analytics,0.06040268456375839,3.36,1.39,23.04,23.04,716.3,8.16,188.11,6.04,47.37,10.92,Tuesday,12
Data Analytics Course,150.0,3113.0,217.41,20.0,5.0,0.03333333333333333,1785.0,2024-07-11,Mobile,analytics for data,0.03333333333333333,4.82,1.45,43.48,43.48,721.03,8.21,357.0,3.33,25.0,10.87,Thursday,11
Data Analytics Course,145.0,5278.0,0.0,25.0,6.0,0.041379310344827586,1516.0,2024-05-11,Desktop,data analytics course,0.041379310344827586,2.75,0.0,0.0,0.0,0.0,0.0,252.67,4.14,24.0,0.0,Saturday,11
Data Analytics Course,184.0,4143.0,223.3,10.0,10.0,0.05434782608695652,1735.0,2024-11-21,Tablet,learn data analytics,0.05434782608695652,4.44,1.21,22.33,22.33,676.98,7.77,173.5,5.43,100.0,22.33,Thursday,21
